"sampleSize.1000","sampleSize.2000","sampleSize.3000","sampleSize.4000","sampleSize.5000","sampleSize.6000","sampleSize.7000","sampleSize.8000","sampleSize.9000","sampleSize.10000","sampleSize.11000"
0.0500449089090608,0.0386142210730038,0.0357358107199027,0.0384413048859074,0.021470632058117,0.0387685678990848,0.0242732320968458,0.014208709501369,0.0294182633791027,0.0284647363330555,0.034723273076821
0.0569879294463296,0.0468369548740875,0.0461928269942805,0.0428921024699911,0.0294367248299656,0.0397362183029153,0.0249039616176878,0.03237463387032,0.0358670742856975,0.0316174802492534,0.0368378001116495
0.0573385794608943,0.0501591317852026,0.0474634675908886,0.043893784438049,0.0357085966457422,0.0430437955160708,0.0364424711727168,0.0356067419692568,0.0362512447825356,0.0321851116493531,0.0398087520732538
0.0624397327652869,0.0556680305763395,0.0602169610068737,0.0505008078194499,0.0362742289007702,0.0433655709459944,0.0367338899063331,0.0368466404367467,0.0364463508315831,0.0392390491421832,0.0404368429877769
0.0669090239021035,0.0573008364659552,0.0604986958451003,0.0515399243564293,0.0367547029167705,0.0438053984512101,0.038258737169884,0.0379998418084449,0.040362750833403,0.0393133987195256,0.0405983548449549
0.0686174116325255,0.0585477777633482,0.0608405166946135,0.0533546934896337,0.0379116214747913,0.0445372158154957,0.0409953536720205,0.0386055022037036,0.0414057234462893,0.0395180959866449,0.0407697139032984
0.0736371285296865,0.0594505082859689,0.063063754470444,0.0534307112425824,0.0384626371465938,0.0453564948606996,0.0419039717642562,0.0386897313151565,0.0415094554457043,0.0423199131368832,0.0414245228686507
0.0793204938634018,0.062381524614186,0.0639364198213105,0.0560771448969437,0.0384869086458605,0.0464131195389467,0.0426115345147919,0.0392239407778406,0.0417367913292748,0.0430297974798979,0.0429864432285824
0.0803808506400743,0.063599088728013,0.0642730388255503,0.0564036209951033,0.0408228539356426,0.0474076381975339,0.043205889944409,0.0397733640316586,0.0420774850950699,0.0432390467974764,0.0434488888005421
0.0814613367592351,0.064131246387507,0.0649106934009203,0.0574955648671312,0.0421089159838483,0.047428438703871,0.0433526304496227,0.0399965366043077,0.0427931824978943,0.0433903406936192,0.0439700609888612
0.0840745878963688,0.0648142993153818,0.0655970019009681,0.0577481210698633,0.0429191932487611,0.0490013181223249,0.0439250104742139,0.0400649948618522,0.0429669015540669,0.0440081700978004,0.0441720947162823
0.0844484280502223,0.0684718017497464,0.067777589269223,0.0600305095834134,0.0432517659268921,0.0499560191979852,0.0439420743482216,0.0404147601386775,0.043152291277058,0.0445245212019658,0.0450067087663165
0.084954584045925,0.0707924541669317,0.0677805057710816,0.0602378112630215,0.0450976522826607,0.0513927506800676,0.0450478275925494,0.0408704435426554,0.0432845674430084,0.0448368406597064,0.0459227514586722
0.0869137063160976,0.0713147538208824,0.0679501544963093,0.0607762483568722,0.04581717730255,0.0525164585543795,0.046809692102129,0.0419485215403183,0.0432944229446386,0.0449135631089655,0.0465077629685725
0.0875075580483352,0.0734958732516445,0.0683584015128003,0.0612767034147411,0.0479003868140066,0.0539232635449681,0.0471902938692087,0.0420753803540172,0.043670618859012,0.0450612944409185,0.0472629596396915
0.0880225111911506,0.0759921103523963,0.0691116453590562,0.06194370202784,0.0481828518770437,0.0551128956541119,0.0472052668112906,0.0424001950231601,0.0442291165029347,0.0456610448532114,0.0475117847351832
0.0908952550645339,0.0773865435826477,0.0705514533212092,0.0625348625441675,0.0493127773353233,0.0551522304263281,0.0474920046013853,0.0427576263197728,0.0449570307820546,0.0458447693256674,0.0475242203543791
0.0912228556060158,0.0776356522983403,0.0706419953354555,0.0632143001167157,0.0495941145811865,0.0553555954751392,0.0484978963606113,0.0439271207613292,0.0451323172513657,0.0459226516784834,0.0478795489492805
0.0912393411009818,0.0795215816907018,0.070941491097114,0.0633760295259561,0.0497321359288147,0.0554894799510311,0.0485151649130479,0.0443713065975964,0.045214523058506,0.0463663420888765,0.0479314164901366
0.0915332821101463,0.0806799243468763,0.0717642190466102,0.0642724756860243,0.0503213390794599,0.0560272622344314,0.0487390267515228,0.0450827632402258,0.0462892224585798,0.0468305961688736,0.0481908563003799
0.092967728509322,0.0809678285472175,0.0722152438340505,0.0648110397315497,0.0509139901181584,0.056367527834797,0.0493545679447184,0.0458310504179699,0.0467615009994188,0.0468788652163321,0.0482956923777011
0.098452983909747,0.0821027678988457,0.0734077189670374,0.0649801117035622,0.0513205227477066,0.0564409474109022,0.050338740904769,0.0463778299647008,0.0473978640481676,0.0471926466805562,0.0484600773652009
0.100549503572599,0.0823640378461401,0.0741502519397558,0.0651555968551668,0.0515757048749139,0.056538225001681,0.0515944347153716,0.0465945870729705,0.0474103490895509,0.0484503520880706,0.0490688319461455
0.101601921220567,0.0840854430592154,0.0745294327528209,0.0652956013055054,0.0517362126776161,0.0565490523200299,0.0516790664710634,0.0467437545889697,0.0475778948207926,0.0489854692388874,0.0490879986364273
0.102474984444715,0.0853252254319436,0.0745394358159528,0.0656485255175715,0.0519223476961834,0.0574004236960795,0.0517703334016321,0.0467785458969972,0.047612033137851,0.0493552435702259,0.0492166641271068
0.103202051094102,0.0857693202325987,0.0758097154824467,0.0658465066740089,0.0519385878003741,0.0581023686541225,0.052643694919729,0.0472207316274178,0.0477863960468333,0.04936636280823,0.0495242245999782
0.105094583977266,0.0863139493845296,0.0760813192915499,0.0658503261307277,0.0521781151815639,0.0587166996666538,0.052844424911342,0.0474970636292339,0.048440263210531,0.0493729159153756,0.0498486681693093
