"sampleSize.1000","sampleSize.2000","sampleSize.3000","sampleSize.4000","sampleSize.5000","sampleSize.6000","sampleSize.7000","sampleSize.8000","sampleSize.9000","sampleSize.10000","sampleSize.11000","sampleSize.12000","sampleSize.13000","sampleSize.14000","sampleSize.15000","sampleSize.16000","sampleSize.17000","sampleSize.18000","sampleSize.19000","sampleSize.20000"
0.0530813545758797,0.0416243906363426,0.0280493075646238,0.0295920074264349,0.0262869767047201,0.0328685680692702,0.0259011910010656,0.0258128909299668,0.0339177632224974,0.0321648142953962,0.0245458168723182,0.0284104765083515,0.0320593381987628,0.031831721756236,0.0315544035407913,0.0307663988946497,0.0273282339700176,0.0255737455101712,0.025871075465779,0.0249195756862223
0.0564653685181877,0.0417365170692312,0.0333348671669711,0.0373135485785501,0.0327613256761348,0.0349727321224606,0.025929244878661,0.0333579133202933,0.0365471107065569,0.0340865594955518,0.0278356101842812,0.0324973808568614,0.0344520229260299,0.0323501026129524,0.032262009829309,0.0315686358572626,0.0312875664100437,0.0257122550525298,0.0283809139204756,0.0289674555901659
0.0667802060846305,0.0553848037103383,0.0439394633166204,0.0379114472893625,0.0409856061207547,0.0370590559714142,0.0261147793505956,0.0337977356774782,0.0370658191318206,0.0341130814601763,0.0323419472228681,0.0326273318980003,0.0347581487983843,0.0330404319987541,0.0358652989253467,0.0341062043986241,0.0340843810491857,0.0271864005554129,0.0339344822180948,0.0296389375537815
0.0722621039816616,0.0583432878197214,0.0512100517801936,0.0393727387677193,0.0410173414407913,0.0380504184026083,0.0267002878306385,0.0344119329296399,0.0376950236561135,0.0366800277941756,0.0373959831217596,0.0336913774240549,0.0362710850908433,0.0367519057884982,0.0364812500325969,0.0346641888125317,0.0341026277892552,0.0319182578711114,0.0342525511274334,0.0297816454127723
0.0741538425199175,0.0605183808746017,0.0517915336948899,0.0437695992041153,0.0422352312361333,0.0390748626664432,0.027129607463872,0.0345266821063323,0.0386475662504805,0.0370857089549963,0.0376252559792673,0.0340396911235821,0.0376717253355532,0.0368438745492013,0.0390140534356617,0.0348801469013703,0.0354991531701239,0.0341905725369655,0.0343203011517232,0.0323315373856647
0.0756053340411139,0.0619702485742917,0.0522670204372539,0.0443401713059604,0.0452618937831691,0.0401376522815669,0.0308403978516782,0.0367832723124676,0.038971175614445,0.0384558733179867,0.037841481436995,0.0341143472666448,0.0381747153839248,0.0370470380040702,0.0391051895891187,0.0350642851924456,0.0358813953779392,0.0351815650190176,0.0346949408689819,0.0328339902230448
0.0768801159001986,0.0655441642048246,0.0533848809772474,0.0488504632026869,0.0458970022778766,0.0405265226785087,0.0330712480418645,0.0377960477933155,0.0397936681279272,0.0388369410349206,0.0379927683452966,0.0354535289160023,0.0396927906493071,0.0371232543659787,0.0393809476351939,0.0359675015756552,0.0368863662049171,0.0361903348223395,0.0348028557777324,0.0331789667139193
0.0822322399023275,0.067360211466754,0.0541911752456262,0.0501762603952539,0.046140215652601,0.0412966141487785,0.0340256056142704,0.0383505564852996,0.0402686652724161,0.0392843074650951,0.0380203046275157,0.0372062200153161,0.0404857399368383,0.0375009692461448,0.0405872373146396,0.0371715898579857,0.0369054153086175,0.036880053669557,0.0359794878228528,0.033486750374135
0.0839792336361186,0.0676894683409037,0.0545135418132032,0.0502281315910492,0.0463255485756982,0.0426488381931756,0.0357058882916,0.0385607419321376,0.0407958896162673,0.0397397374154434,0.0380289968099776,0.0382218604784919,0.0406310341971731,0.0377586570075485,0.0406404385000114,0.0372095415740266,0.0371468644576075,0.0370230339223144,0.0363212451876648,0.0336605703905808
0.0867786535127082,0.0680997076212573,0.054823116106268,0.0532787469215307,0.047097437242988,0.0431158026953491,0.0382702254903503,0.038779785063294,0.0410445720864855,0.040121025012404,0.0381866809563524,0.0399382541200487,0.0416038500013287,0.0380152512079407,0.0409090100379455,0.0374153249847552,0.0378485984109288,0.0370528431665403,0.0368303739553952,0.0340388550774271
