"sampleSize.1000","sampleSize.2000","sampleSize.3000","sampleSize.4000","sampleSize.5000","sampleSize.6000","sampleSize.7000","sampleSize.8000","sampleSize.9000","sampleSize.10000","sampleSize.11000"
1.06572871651004,0.835057351896499,0.891641606108512,1.34295810750083,-0.0399429017364756,1.80954983375856,0.417659336716879,-0.659797183633279,1.22436277991374,1.21618979656009,2.15334665706056
1.38969841355761,1.35699969044656,1.68475171398731,1.72567807730756,0.714792686293917,1.90876091519246,0.486779370966655,1.44890788277489,2.01185731116104,1.61901256002091,2.4347934712614
1.4060601653886,1.56787661143309,1.78112317160091,1.81181178375649,1.30901183468992,2.2478795792723,1.75125510784077,1.82409180322851,2.05877017148653,1.69153822505844,2.83023176595555
1.64408611990601,1.91755685007862,2.74840908505669,2.37994361659576,1.3626018197471,2.28087051097161,1.78319094116231,1.96801952895968,2.08259548577526,2.59281237534478,2.9138316367585
1.85262862497851,2.02120005987242,2.76977720212528,2.46929628702063,1.40812361435648,2.32596506398796,1.95029505092652,2.10188343402168,2.56084544972692,2.60231194238965,2.93532911440228
1.93234405322674,2.10035031239673,2.79570252955323,2.62534660715874,1.51773413901378,2.40099669921023,2.25019385081726,2.17218864492457,2.68820772484787,2.62846589621705,2.9581372697301
2.16657008694053,2.15765160555,2.96432351148186,2.63188330346174,1.56993929767594,2.48499558945929,2.34976698253219,2.18196598135141,2.70087492558268,2.98645111708206,3.04529335436419
2.43176275567757,2.34369940348265,3.03051062379071,2.85944768695891,1.57223886470285,2.59332900882612,2.42730697381975,2.24397715004319,2.72863597605556,3.07715229053341,3.25318736664095
2.48124027945227,2.42098492387998,3.05604141840379,2.88752106483551,1.79355451999133,2.6952948337088,2.49244086448785,2.30775433943349,2.77023968893841,3.10388785504476,3.3147395865112
2.53165706258141,2.45476391028436,3.10440418994315,2.98141630896605,1.91540055216739,2.69742746417111,2.50852178096797,2.33366026775679,2.85763685392207,3.12321851651265,3.38410840972153
2.65359450676179,2.49812105295161,3.15645710773813,3.00313338336858,1.9921690640987,2.8586913539522,2.57124744323095,2.34160691949824,2.87885050225055,3.20215792756376,3.41099941088029
2.67103833841086,2.73028293731095,3.32184327885019,3.19939386174145,2.02367816686474,2.95657476906518,2.57311742951965,2.38220776073898,2.90148931041527,3.26813156329971,3.52208782999262
2.6946561865371,2.87758756602553,3.32206448029456,3.21721954153516,2.19856391877082,3.1038797084351,2.69429409811398,2.43510360480011,2.91764217313818,3.30803629086202,3.64401452716364
2.78607119027216,2.91074081036028,3.33493145068424,3.26351924948824,2.26673424449284,3.21909102130695,2.88737232138,2.56024716972326,2.91884567464394,3.31783903724788,3.72188046267561
2.81378102704298,3.0491885096156,3.36589485619062,3.30655291727896,2.46410482510872,3.36332766289819,2.9290814951332,2.57497297270099,2.96478472132054,3.33671451364839,3.822398305995
2.83780936064448,3.20763846816467,3.42302447065118,3.36390751142614,2.49086655655663,3.48529804351236,2.93072234154251,2.6126775411311,3.03298548680646,3.41334399098252,3.85551731051274
2.97185504830443,3.29615084844548,3.53222639003482,3.41474085773891,2.597919660206,3.48933095175491,2.96214520224134,2.65416825587548,3.12187451182617,3.43681827296586,3.8571725106344
2.98714128397186,3.31196315476198,3.53909352926481,3.47316506651019,2.62457453829652,3.51018152582437,3.07237830621346,2.78992346458157,3.14327956432088,3.44676921900528,3.90446729541712
2.98791051701404,3.43167351158512,3.56180871967914,3.48707202890333,2.63765116518832,3.52390840857858,3.07427072268744,2.84148466809314,3.15331810080419,3.50345907456803,3.91137094521395
3.00162615838046,3.50519991891286,3.62420834072388,3.56415660550631,2.69347433962372,3.57904605095535,3.09880316873808,2.9240707339807,3.2845546826409,3.56277632849771,3.94590278465944
3.06855915431176,3.52347478895482,3.65841621689399,3.61046722991655,2.74962417907446,3.6139327394261,3.16625875302566,3.01093209764102,3.3422268292619,3.56894361375896,3.95985662846913
3.32450777505476,3.59551565925798,3.74885923204769,3.62500557249478,2.78814050721715,3.62146028813066,3.2741117493712,3.0744024048482,3.4199361043571,3.60903514034701,3.98173652419626
3.42233390654645,3.61209990612558,3.80517648265188,3.64009537845761,2.81231735756884,3.63143394694612,3.41172002094888,3.09956362445393,3.42146071128917,3.76973083315975,4.06276269913516
3.4714409810178,3.72136700442157,3.83393536832872,3.65213423171798,2.8275244301357,3.63254404823701,3.42099459849557,3.11687902720154,3.44192050597034,3.83810218687479,4.06531381521442
3.51217916214694,3.80006284044992,3.83469404845997,3.68248185845998,2.84515951507821,3.71983329504081,3.43099630787864,3.12091761098151,3.44608929590369,3.88534786301149,4.08243939074638
3.54610496733087,3.82825199072514,3.93103813140817,3.69950607508241,2.8466981595476,3.791802177727,3.52670576184981,3.17224664170373,3.46738156811708,3.88676855631847,4.12337616470954
3.63441283010042,3.86282261164976,3.95163786279291,3.69983450663485,2.86939182431768,3.85478819403036,3.54870324799368,3.20432332992534,3.54722835274641,3.88760583990376,4.16656010488724
3.65476203017573,3.94313626794392,3.97929846062625,3.72798139354744,2.89919150523834,3.90791386323235,3.54890565304637,3.23767637405147,3.60108273716896,3.94429617251518,4.18961358085804
3.68262647636591,3.98856235126701,3.98716557942558,3.74212540636598,3.02132359842269,3.93171834190595,3.56078867115007,3.24718433520676,3.60322823124334,4.17604547493452,4.26420783049936
3.77736221946077,4.0216499853831,4.06972468796622,3.91547242064695,3.05166479043336,3.93631257622773,3.58992797580953,3.29663979087394,3.62553280338188,4.18638811736631,4.34980422981414
3.79101472617874,4.03981835416841,4.13256622517621,3.95240559176062,3.06103909877688,3.9435286021949,3.6662247011006,3.34331966010546,3.64138031766806,4.21489944664603,4.38786667371674
3.84839155460354,4.04950168779431,4.14171801551604,3.9701811894471,3.06758294768628,4.03654153503247,3.69475173826817,3.41638320985219,3.65553023729103,4.31573427931514,4.40458497871514
3.90124452810706,4.06164060337458,4.14789764830584,3.98413774484479,3.1321352957254,4.03822944620228,3.717755022572,3.45256321943468,3.65573276853264,4.33508315928642,4.40891393730139
4.04812158533236,4.09169408955629,4.15303108444489,3.98822609528617,3.15186420333094,4.05924424839442,3.73168783159048,3.4643389202145,3.68424867563282,4.3377736059411,4.445259481297
4.14421775326826,4.0953299935066,4.15953707745438,3.99288427225291,3.22585804574888,4.06365665443521,3.73521654462489,3.47765461126549,3.70427488562145,4.43391315283896,4.48927640334126
4.15026344902693,4.16755854560426,4.17574827680215,4.10035535700661,3.22824097102459,4.08103637887877,3.7737060319579,3.59447869538066,3.74187253577254,4.47911487235614,4.50869944261768
4.16969112147555,4.23966756447017,4.18438519432781,4.11847823384424,3.29789168374114,4.12991791723947,3.7756958793384,3.67420257154345,3.81756200921895,4.54766216668765,4.53637280092892
4.20194416893018,4.24718742371432,4.19608206302095,4.14330257739949,3.35100220502584,4.19803103581868,3.78106205702007,3.70389113998302,3.84194858121065,4.55829281314985,4.62146435048525
4.25913133393154,4.25737872346225,4.2274159045045,4.17179794994568,3.36049375367141,4.22073608448177,3.78971163422812,3.7072046858258,3.94857307473451,4.62725888351112,4.6400306018385
